name,file,line_start,scc_id,scc_kind,translated
refill_buffer,htslib/hfile.c,179,,,TRUE
hread2,htslib/hfile.c,330,,,TRUE
hread,htslib/htslib/hfile.h,247,,,TRUE
ed_is_big,htslib/htslib/hts.h,1567,,,TRUE
ed_swap_8,htslib/htslib/hts.h,1591,,,TRUE
ed_swap_8p,htslib/htslib/hts.h,1597,,,TRUE
htell,htslib/htslib/hfile.h,155,,,TRUE
writebuffer_is_nonempty,htslib/hfile.c,171,,,TRUE
flush_buffer,htslib/hfile.c,376,,,TRUE
hseek,htslib/hfile.c,446,,,TRUE
razf_info,htslib/bgzf.c,315,,,TRUE
hpeek,htslib/hfile.c,313,,,TRUE
bgzf_read_init,htslib/bgzf.c,383,,,TRUE
bgzf_zerr,htslib/bgzf.c,346,,,TRUE
mode2level,htslib/bgzf.c,426,,,TRUE
bgzf_write_init,htslib/bgzf.c,435,,,TRUE
hfile_destroy,htslib/hfile.c,162,,,TRUE
hclose_abruptly,htslib/hfile.c,520,,,TRUE
hfile_init,htslib/hfile.c,104,,,TRUE
blksize,htslib/hfile.c,648,,,TRUE
hfile_oflags,htslib/hfile.c,772,,,TRUE
hopen_fd,htslib/hfile.c,664,,,TRUE
hdopen,htslib/hfile.c,735,,,TRUE
hopen_fd_stdinout,htslib/hfile.c,761,,,TRUE
isalnum_c,htslib/textutils_internal.h,169,,,TRUE
tolower_c,htslib/textutils_internal.h,179,,,TRUE
ks_resize,htslib/htslib/kstring.h,164,,,TRUE
kputsn,htslib/htslib/kstring.h,242,,,TRUE
kputc,htslib/htslib/kstring.h,259,,,TRUE
open_nextdir,htslib/plugin.c,42,,,TRUE
kputs,htslib/htslib/kstring.h,253,,,TRUE
hts_path_itr_setup,htslib/plugin.c,69,,,TRUE
hts_path_itr_next,htslib/plugin.c,104,,,TRUE
load_plugin,htslib/plugin.c,135,,,TRUE
close_plugin,htslib/plugin.c,186,,,TRUE
priority,htslib/hfile.c,1011,,,TRUE
try_exe_add_scheme_handler,htslib/hfile.c,1026,,,TRUE
try_exe_add_scheme_handler,htslib/hfile.c,1046,,,TRUE
hfile_add_scheme_handler,htslib/hfile.c,1053,,,FALSE
init_add_plugin,htslib/hfile.c,1079,,,FALSE
load_hfile_plugins,htslib/hfile.c,1111,,,FALSE
