name,file,line_start,scc_id,scc_kind,translated
refill_buffer,htslib/hfile.c,179,,,FALSE
hread2,htslib/hfile.c,330,,,FALSE
hread,htslib/htslib/hfile.h,247,,,FALSE
ed_is_big,htslib/htslib/hts.h,1567,,,FALSE
ed_swap_8,htslib/htslib/hts.h,1591,,,FALSE
ed_swap_8p,htslib/htslib/hts.h,1597,,,FALSE
htell,htslib/htslib/hfile.h,155,,,FALSE
writebuffer_is_nonempty,htslib/hfile.c,171,,,FALSE
flush_buffer,htslib/hfile.c,376,,,FALSE
hseek,htslib/hfile.c,446,,,FALSE
razf_info,htslib/bgzf.c,315,,,FALSE
hpeek,htslib/hfile.c,313,,,FALSE
bgzf_read_init,htslib/bgzf.c,383,,,FALSE
bgzf_zerr,htslib/bgzf.c,346,,,FALSE
mode2level,htslib/bgzf.c,426,,,FALSE
bgzf_write_init,htslib/bgzf.c,435,,,FALSE
hfile_destroy,htslib/hfile.c,162,,,FALSE
hclose_abruptly,htslib/hfile.c,520,,,FALSE
hfile_init,htslib/hfile.c,104,,,FALSE
blksize,htslib/hfile.c,648,,,FALSE
hfile_oflags,htslib/hfile.c,772,,,FALSE
hopen_fd,htslib/hfile.c,664,,,FALSE
hdopen,htslib/hfile.c,735,,,FALSE
hopen_fd_stdinout,htslib/hfile.c,761,,,FALSE
isalnum_c,htslib/textutils_internal.h,169,,,FALSE
tolower_c,htslib/textutils_internal.h,179,,,FALSE
ks_resize,htslib/htslib/kstring.h,164,,,FALSE
kputsn,htslib/htslib/kstring.h,242,,,FALSE
kputc,htslib/htslib/kstring.h,259,,,FALSE
open_nextdir,htslib/plugin.c,42,,,FALSE
kputs,htslib/htslib/kstring.h,253,,,FALSE
hts_path_itr_setup,htslib/plugin.c,69,,,FALSE
hts_path_itr_next,htslib/plugin.c,104,,,FALSE
load_plugin,htslib/plugin.c,135,,,FALSE
close_plugin,htslib/plugin.c,186,,,FALSE
priority,htslib/hfile.c,1011,,,FALSE
try_exe_add_scheme_handler,htslib/hfile.c,1026,,,FALSE
try_exe_add_scheme_handler,htslib/hfile.c,1046,,,FALSE
hfile_add_scheme_handler,htslib/hfile.c,1053,,,FALSE
init_add_plugin,htslib/hfile.c,1079,,,FALSE
load_hfile_plugins,htslib/hfile.c,1111,,,FALSE
find_scheme_handler,htslib/hfile.c,1176,,,FALSE
hopen,htslib/hfile.c,1317,,,FALSE
bgzf_open,htslib/bgzf.c,495,,,FALSE
next_power_2,htslib/cram/pooled_alloc.c,47,,,FALSE
pool_create,htslib/cram/pooled_alloc.c,64,,,FALSE
hts_tpool_process_ref_incr,htslib/thread_pool.c,268,,,FALSE
hts_tpool_process_attach,htslib/thread_pool.c,456,,,FALSE
hts_tpool_process_init,htslib/thread_pool.c,372,,,FALSE
hts_tpool_size,htslib/thread_pool.c,819,,,FALSE
bgzf_thread_pool,htslib/bgzf.c,1740,,,FALSE
hts_tpool_init,htslib/thread_pool.c,725,,,FALSE
DBG_OUT,htslib/thread_pool.c,69,,,FALSE
hts_tpool_destroy,htslib/thread_pool.c,1089,,,FALSE
bgzf_mt,htslib/bgzf.c,1783,,,FALSE
bgzf_mt,htslib/bgzf.c,1937,,,FALSE
packInt16,htslib/bgzf.c,296,,,FALSE
packInt32,htslib/bgzf.c,307,,,FALSE
u16_to_le,htslib/htslib/hts_endian.h,177,,,FALSE
bgzf_compress,htslib/bgzf.c,561,,,FALSE
bgzf_compress,htslib/bgzf.c,624,,,FALSE
bgzf_gzip_compress,htslib/bgzf.c,686,,,FALSE
deflate_block,htslib/bgzf.c,709,,,FALSE
bgzf_clear_private_data,htslib/bgzf_internal.h,58,,,FALSE
free_cache,htslib/bgzf.c,905,,,FALSE
new_pool,htslib/cram/pooled_alloc.c,96,,,FALSE
pool_alloc,htslib/cram/pooled_alloc.c,115,,,FALSE
pool_alloc,htslib/cram/pooled_alloc.c,151,,,FALSE
pool_free,htslib/cram/pooled_alloc.c,144,,,FALSE
pool_free,htslib/cram/pooled_alloc.c,155,,,FALSE
job_cleanup,htslib/bgzf.c,1322,,,FALSE
wake_next_worker,htslib/thread_pool.c,654,,,FALSE
hts_tpool_dispatch3,htslib/thread_pool.c,846,,,FALSE
mt_queue,htslib/bgzf.c,1852,,,FALSE
hts_usleep,htslib/hts_internal.h,159,,,FALSE
hts_tpool_process_is_shutdown,htslib/thread_pool.c,333,,,FALSE
hts_tpool_process_flush,htslib/thread_pool.c,941,,,FALSE
mt_flush_queue,htslib/bgzf.c,1897,,,FALSE
bgzf_index_add_block,htslib/bgzf.c,2354,,,FALSE
hfile_set_blksize,htslib/hfile.c,212,,,FALSE
hwrite2,htslib/hfile.c,412,,,FALSE
hwrite,htslib/htslib/hfile.h,292,,,FALSE
hflush,htslib/hfile.c,390,,,FALSE
bgzf_flush,htslib/bgzf.c,1949,,,FALSE
pool_destroy,htslib/cram/pooled_alloc.c,84,,,FALSE
hts_tpool_process_shutdown_locked,htslib/thread_pool.c,319,,,FALSE
hts_tpool_process_detach_locked,htslib/thread_pool.c,472,,,FALSE
hts_tpool_delete_result,htslib/thread_pool.c,344,,,FALSE
hts_tpool_process_reset,htslib/thread_pool.c,1013,,,FALSE
hts_tpool_process_destroy,htslib/thread_pool.c,410,,,FALSE
hts_tpool_wake_dispatch,htslib/thread_pool.c,923,,,FALSE
mt_destroy,htslib/bgzf.c,1805,,,FALSE
bgzf_close_mt,htslib/bgzf.c,2071,,,FALSE
bgzf_index_destroy,htslib/bgzf.c,2336,,,FALSE
hclose,htslib/hfile.c,503,,,FALSE
bgzf_close,htslib/bgzf.c,2080,,,FALSE
main,htslib/test/thrash_threads1.c,34,,,FALSE
main,htslib/test/test_hfile_libcurl.c,30,,,FALSE
start_server,htslib/test/test_hfile_libcurl.c,65,,,FALSE
stop_server,htslib/test/test_hfile_libcurl.c,139,,,FALSE
generate_test_data,htslib/test/test_hfile_libcurl.c,154,,,FALSE
read_expected_data,htslib/test/test_hfile_libcurl.c,173,,,FALSE
hfile_read_all,htslib/test/test_hfile_libcurl.c,196,,,FALSE
test_normal_transfer,htslib/test/test_hfile_libcurl.c,233,,,FALSE
test_503_retry,htslib/test/test_hfile_libcurl.c,265,,,FALSE
test_429_retry,htslib/test/test_hfile_libcurl.c,302,,,FALSE
test_drop_mid_transfer,htslib/test/test_hfile_libcurl.c,339,,,FALSE
test_404_no_retry,htslib/test/test_hfile_libcurl.c,376,,,FALSE
test_retry_exhaustion,htslib/test/test_hfile_libcurl.c,407,,,FALSE
test_retry_disabled,htslib/test/test_hfile_libcurl.c,436,,,FALSE
main,htslib/test/test_hfile_libcurl.c,464,,,FALSE
cram_update_curr_slice,htslib/cram/cram_encode.c,3258,,,FALSE
string_pool_destroy,htslib/cram/string_alloc.c,103,,,FALSE
mfdestroy,htslib/cram/mFILE.c,408,,,FALSE
mfflush,htslib/cram/mFILE.c,607,,,FALSE
mfclose,htslib/cram/mFILE.c,361,,,FALSE
ref_entry_free_seq,htslib/cram/cram_io.c,2417,,,FALSE
refs_free,htslib/cram/cram_io.c,2427,,,FALSE
free_bam_list,htslib/cram/cram_io.c,3695,,,FALSE
cram_free_block,htslib/cram/cram_io.c,1565,,,FALSE
cram_free_compression_header,htslib/cram/cram_io.c,4356,,,FALSE
cram_free_slice_header,htslib/cram/cram_io.c,4407,,,FALSE
cram_free_slice,htslib/cram/cram_io.c,4419,,,FALSE
cram_stats_free,htslib/cram/cram_stats.c,223,,,FALSE
cram_free_container,htslib/cram/cram_io.c,3703,,,FALSE
le_to_u32,htslib/htslib/hts_endian.h,142,,,FALSE
le_int4,htslib/cram/os.h,155,,,FALSE
int32_encode,htslib/cram/cram_io.c,1020,,,FALSE
hputc2,htslib/hfile.c,400,,,FALSE
hputc,htslib/htslib/hfile.h,263,,,FALSE
cram_write_block,htslib/cram/cram_io.c,1511,,,FALSE
itf8_put,htslib/cram/cram_io.c,277,,,FALSE
cram_write_container,htslib/cram/cram_io.c,4021,,,FALSE
new_string_pool,htslib/cram/string_alloc.c,75,,,FALSE
string_alloc,htslib/cram/string_alloc.c,117,,,FALSE
string_ndup,htslib/cram/string_alloc.c,153,,,FALSE
kstrtok,htslib/kstring.c,187,,,FALSE
sam_hrecs_add_ref_altnames,htslib/header.c,88,,,FALSE
sam_hrecs_find_key,htslib/header.c,3009,,,FALSE
sam_hrecs_vupdate,htslib/header.c,2939,,,FALSE
sam_hrecs_update,htslib/header.c,2990,,,FALSE
TYPEKEY,htslib/header.h,58,,,FALSE
sam_hrecs_update_hashes,htslib/header.c,141,,,FALSE
sam_hrecs_global_list_add,htslib/header.c,500,,,FALSE
sam_hrecs_free_tags,htslib/header.c,694,1,self,FALSE
known_stderr,htslib/header.c,780,,,FALSE
fast_exp,htslib/kstring.c,351,,,FALSE
karp_rabin,htslib/kstring.c,365,,,FALSE
ksBM_prep,htslib/kstring.c,405,,,FALSE
boyer_moore,htslib/kstring.c,449,,,FALSE
kmemmem,htslib/kstring.c,496,,,FALSE
warn_if_known_stderr,htslib/header.c,788,,,FALSE
